,Poste H en HT (1e-06),Poste I en HT (1e-06),Poste U en HT (1e-06),Poste G en HT (1e-06),Poste L en HT (1e-06),,,,,,,Poste A en HT (1e-06),Interprétations,,,,,,
Réseau HT existant (cas de référence),,,,,,,,,,,,,,,,Défiabilité (1 an),,,
Taux de panne équivalent (h-1),3.5E-06,3.50E-06,1.59E-06,2.09E-06,2.27E-06,,,,,,,1.46E-06,,,,Poste H en HT,Poste I en HT,Poste U en HT,Poste A en HT
Indisponibilité,1.48E-05,1.48E-05,1.22E-05,1.34E-05,1.16E-05,,,,,,,1.03E-05,,,Réseau HT existant (cas de référence),3.019%,3.023%,1.381%,1.271%
Défiabilité (1 an),3.019%,3.023%,1.381%,1.814%,1.970%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,1.271%,,,Proposition 1 : Avec une fermeture automatique du DJ 2B sur défaut de TR1,3.007%,3.007%,1.365%,
Défiabilité (10 ans),26.406%,26.430%,12.987%,16.728%,18.046%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,12.006%,,,Proposition 2 : Deux lignes RTE (schéma exploitation n°7),2.813%,2.815%,1.169%,
Disponibilité,99.998520%,99.998520%,99.998775%,99.998658%,99.998843%,100.000000%,100.000000%,100.000000%,100.000000%,100.000000%,100.000000%,99.998970%,,,Proposition 3 : Reconfigurateur de boucle HT,0.641%,0.615%,0.589%,
Taux de panne équivalent (an-1),3.07E-02,3.07E-02,1.39E-02,1.83E-02,1.99E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-02,,,,,,,
MTTF (h),"285,714","285,408","629,712","478,537","440,172",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"684,932",,,,,,,
Indispo. Annuelle moyenne (min),7.8,7.8,6.4,7.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,5.4,,,,Disponibilité,,,
Temps moyen (h/panne),4,4,8,6,5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,7,,,,Poste H en HT,Poste I en HT,Poste U en HT,Poste A en HT
Proposition 1 : Avec une fermeture automatique du DJ 2B sur défaut de TR1,,,,,,,,,,,,,,,Réseau HT existant (cas de référence),99.99852%,99.99852%,99.99878%,
Taux de panne équivalent (h-1),3.48E-06,3.48E-06,1.57E-06,2.07E-06,2.25E-06,,,,,,,,,,Proposition 1 : Avec une fermeture automatique du DJ 2B sur défaut de TR1,99.99852%,99.99852%,99.99878%,
Indisponibilité,1.48E-05,1.48E-05,1.22E-05,1.34E-05,2.25E-06,,,,,,,,,,Proposition 2 : Deux lignes RTE (schéma exploitation n°7),99.99896%,99.99896%,99.99922%,
Défiabilité (1 an),3.01%,3.01%,1.36%,1.80%,1.95%,,,,,,,,,,Proposition 3 : Reconfigurateur de boucle HT,99.99890%,99.99897%,99.99904%,
